date,species,svl (mm),board number,habitat type,air temp (degrees Fahrenheit),relative humidity (percent)
2011-04-25,Sceloporus undulatus,14,37,forest,72.1,0.531
2011-05-02,Anaxyrus fowleri,3,14,stream,75.0,0.371
2011-05-02,Anolis carolinensis,16,3,disturbed,75.0,0.371
2011-05-02,Plestiodon fasciata,13,10,disturbed,75.0,0.371
2011-05-02,Scincella lateralis,4,11,disturbed,75.0,0.371
2011-05-02,Scincella lateralis,6,41,forest,75.0,0.371
2011-05-09,Eurycea cirrigera,5,19,stream,74.6,0.664
2011-05-16,Scincella lateralis,15,39,forest,69.3,0.503
2011-05-16,Plestiodon fasciata,16,4,disturbed,69.3,0.503
2011-05-23,Plestiodon fasciata,18,3,disturbed,63.4,0.779
2011-05-30,Agkistrodon piscivorus,82,16,stream,75.4,0.723
2011-05-30,Scincella lateralis,8,39,forest,75.4,0.723
2011-05-30,Scincella lateralis,4,6,disturbed,75.4,0.723
2011-05-30,Scincella lateralis,12,17,stream,75.4,0.723
2011-05-30,Scincella lateralis,6,38,forest,75.4,0.723
2011-05-30,Scincella lateralis,6,23,stream,75.4,0.723
2011-05-30,Anolis carolinensis,13,8,disturbed,75.4,0.723
2011-06-06,Anolis carolinensis,18,8,disturbed,71.6,0.32
2011-06-06,Scincella lateralis,4,5,disturbed,71.6,0.32
2011-06-06,Scincella lateralis,4,28,grass,71.6,0.32
2011-06-13,Storeria occipitomaculata,24,36,grass,83.7,0.813
2011-06-13,Anolis carolinensis,6,10,disturbed,83.7,0.813
2011-06-13,Anolis carolinensis,15,5,disturbed,83.7,0.813
2011-06-13,Scincella lateralis,12,45,forest,83.7,0.813
2011-06-20,Storeria occipitomaculata,23,12,disturbed,68.7,0.583
2011-06-20,Anaxyrus fowleri,3,9,disturbed,68.7,0.583
2011-06-20,Anolis carolinensis,19,4,disturbed,68.7,0.583
2011-06-27,Anolis carolinensis,14,38,forest,78.2,0.395
2011-06-27,Scincella lateralis,6,46,forest,78.2,0.395
2011-07-04,Sceloporus undulatus,20,38,forest,70.5,0.805
2011-07-04,Plestiodon fasciata,15,9,disturbed,70.5,0.805
2011-07-04,Anolis carolinensis,18,12,disturbed,70.5,0.805
2011-07-11,Scincella lateralis,10,40,forest,89.6,0.88
2011-07-11,Plestiodon laticeps,19,47,forest,89.6,0.88
2011-07-18,Scincella lateralis,5,25,grass,87.0,0.678
2011-07-18,Anolis carolinensis,17,2,disturbed,87.0,0.678
2011-07-18,Anolis carolinensis,13,46,forest,87.0,0.678
2011-07-18,Scincella lateralis,3,12,disturbed,87.0,0.678
2011-07-25,Plestiodon fasciata,7,37,forest,86.5,0.357
2011-07-25,Scincella lateralis,8,44,forest,86.5,0.357
2011-07-25,Sceloporus undulatus,14,7,disturbed,86.5,0.357
2011-08-01,Scincella lateralis,13,45,forest,71.2,0.375
2011-08-08,Anolis carolinensis,10,1,disturbed,80.7,0.613
2011-08-08,Anolis carolinensis,17,4,disturbed,80.7,0.613
2011-08-08,Pantherophis spiloides,214,40,forest,80.7,0.613
2011-08-08,Pantherophis spiloides,87,37,forest,80.7,0.613
2011-08-08,Agkistrodon piscivorus,66,22,stream,80.7,0.613
2011-08-08,Anolis carolinensis,22,1,disturbed,80.7,0.613
2011-08-15,Pantherophis spiloides,92,48,forest,77.6,0.776
2011-08-15,Scincella lateralis,8,48,forest,77.6,0.776
2011-08-15,Scincella lateralis,8,38,forest,77.6,0.776
2011-08-15,Scincella lateralis,12,48,forest,77.6,0.776
2011-08-22,Scincella lateralis,4,40,forest,76.2,0.641
2011-08-22,Anolis carolinensis,15,8,disturbed,76.2,0.641
2011-08-22,Sceloporus undulatus,11,8,disturbed,76.2,0.641
2011-08-22,Sceloporus undulatus,17,4,disturbed,76.2,0.641
2011-08-22,Anolis carolinensis,19,10,disturbed,76.2,0.641
2011-08-22,Anolis carolinensis,13,3,disturbed,76.2,0.641
2011-08-29,Anolis carolinensis,6,10,disturbed,79.6,0.49
2011-08-29,Anolis carolinensis,10,6,disturbed,79.6,0.49
2011-09-05,Sceloporus undulatus,11,6,disturbed,68.5,0.795
2011-09-05,Anolis carolinensis,12,4,disturbed,68.5,0.795
2011-09-05,Anolis carolinensis,6,22,stream,68.5,0.795
2011-09-05,Sceloporus undulatus,12,47,forest,68.5,0.795
2011-09-12,Sceloporus undulatus,13,2,disturbed,70.7,0.518
2011-09-12,Plestiodon fasciata,13,40,forest,70.7,0.518
2011-09-12,Scincella lateralis,6,48,forest,70.7,0.518
2011-09-19,Storeria occipitomaculata,33,7,disturbed,66.6,0.99
2011-09-19,Tantilla coronata,18,10,disturbed,66.6,0.99
2011-09-19,Storeria occipitomaculata,33,45,forest,66.6,0.99
2011-09-26,Plestiodon fasciata,8,47,forest,76.1,0.705
2011-10-10,Scincella lateralis,9,38,forest,63.9,0.486
2011-10-17,Storeria occipitomaculata,24,7,disturbed,58.8,0.274
2011-10-17,Plestiodon laticeps,17,2,disturbed,58.8,0.274
2011-10-17,Anolis carolinensis,17,7,disturbed,58.8,0.274
2011-10-17,Plestiodon fasciata,11,2,disturbed,58.8,0.274
2011-10-24,Eurycea cirrigera,4,13,stream,70.9,0.864
2011-10-24,Plethodon glutinosus,12,10,disturbed,70.9,0.864
2011-10-24,Eurycea cirrigera,9,16,stream,70.9,0.864
2011-10-24,Sceloporus undulatus,12,48,forest,70.9,0.864
2011-10-24,Storeria occipitomaculata,38,27,grass,70.9,0.864
2011-10-24,Coluber constrictor,62,28,grass,70.9,0.864
2011-10-31,Eurycea cirrigera,3,13,stream,54.1,0.517
2011-10-31,Tantilla coronata,16,45,forest,54.1,0.517
2011-10-31,Storeria occipitomaculata,20,29,grass,54.1,0.517
2011-11-07,Scincella lateralis,4,38,forest,50.9,0.337
2011-11-07,Eurycea cirrigera,9,20,stream,50.9,0.337
2011-11-07,Eurycea cirrigera,7,24,stream,50.9,0.337
2011-11-14,Anolis carolinensis,19,48,forest,58.5,0.309
2011-11-21,Plestiodon fasciata,6,43,forest,53.3,0.907
2011-11-28,Scincella lateralis,4,4,disturbed,62.9,0.789
2011-11-28,Eurycea cirrigera,7,19,stream,62.9,0.789
2011-12-05,Plethodon glutinosus,20,9,disturbed,39.6,0.422
2011-12-05,Eurycea cirrigera,4,15,stream,39.6,0.422
2011-12-12,Anolis carolinensis,14,12,disturbed,38.3,0.747
2011-12-12,Plethodon glutinosus,13,48,forest,38.3,0.747
2011-12-12,Scincella lateralis,4,5,disturbed,38.3,0.747
2011-12-19,Eurycea cirrigera,8,23,stream,56.1,0.699
2011-12-19,Plethodon glutinosus,11,6,disturbed,56.1,0.699
2011-12-19,Eurycea cirrigera,7,15,stream,56.1,0.699
2011-12-19,Plethodon glutinosus,12,1,disturbed,56.1,0.699
2011-12-19,Anolis carolinensis,8,48,forest,56.1,0.699
2011-12-26,Eurycea cirrigera,10,17,stream,50.5,0.918
2011-12-26,Scincella lateralis,13,9,disturbed,50.5,0.918
2011-12-26,Eurycea cirrigera,6,21,stream,50.5,0.918
2011-12-26,Plethodon glutinosus,15,1,disturbed,50.5,0.918
2012-01-02,Plethodon glutinosus,18,42,forest,46.5,0.954
2012-01-02,Eurycea cirrigera,6,24,stream,46.5,0.954
2012-01-02,Plethodon glutinosus,18,47,forest,46.5,0.954
2012-01-09,Eurycea cirrigera,7,19,stream,39.7,0.39
2012-01-09,Plethodon glutinosus,18,18,stream,39.7,0.39
2012-01-09,Plethodon glutinosus,12,42,forest,39.7,0.39
2012-01-09,Eurycea cirrigera,9,15,stream,39.7,0.39
2012-01-16,Scincella lateralis,8,37,forest,55.8,0.532
2012-01-16,Eurycea cirrigera,8,16,stream,55.8,0.532
2012-01-16,Eurycea cirrigera,8,22,stream,55.8,0.532
2012-01-23,Plethodon glutinosus,13,1,disturbed,48.4,0.934
2012-01-30,Eurycea cirrigera,4,20,stream,38.7,0.372
2012-01-30,Plethodon glutinosus,11,11,disturbed,38.7,0.372
2012-01-30,Plethodon glutinosus,16,10,disturbed,38.7,0.372
2012-02-06,Eurycea cirrigera,8,17,stream,39.1,0.479
2012-02-13,Plethodon glutinosus,11,24,stream,40.9,0.728
2012-02-13,Plestiodon laticeps,11,37,forest,40.9,0.728
2012-02-13,Plestiodon fasciata,16,9,disturbed,40.9,0.728
2012-02-20,Plestiodon laticeps,17,43,forest,54.1,0.672
2012-02-20,Eurycea cirrigera,9,23,stream,54.1,0.672
2012-02-20,Plestiodon fasciata,11,2,disturbed,54.1,0.672
2012-02-20,Plethodon glutinosus,19,45,forest,54.1,0.672
2012-02-20,Plethodon glutinosus,12,39,forest,54.1,0.672
2012-02-20,Plethodon glutinosus,14,11,disturbed,54.1,0.672
2012-02-27,Plestiodon fasciata,10,44,forest,48.4,0.899
2012-03-05,Plestiodon fasciata,7,2,disturbed,49.0,0.637
2012-03-05,Eurycea cirrigera,3,22,stream,49.0,0.637
2012-03-05,Storeria occipitomaculata,24,43,forest,49.0,0.637
2012-03-05,Plestiodon fasciata,11,38,forest,49.0,0.637
2012-03-05,Eurycea cirrigera,6,24,stream,49.0,0.637
2012-03-05,Plestiodon fasciata,9,46,forest,49.0,0.637
2012-03-05,Plestiodon fasciata,13,47,forest,49.0,0.637
2012-03-12,Pantherophis spiloides,79,45,forest,57.0,0.44
2012-03-12,Sceloporus undulatus,19,37,forest,57.0,0.44
2012-03-12,Scincella lateralis,14,38,forest,57.0,0.44
2012-03-19,Storeria dekayi,34,48,forest,53.6,0.989
2012-03-19,Coluber constrictor,173,32,grass,53.6,0.989
2012-03-19,Plestiodon fasciata,10,39,forest,53.6,0.989
2012-03-26,Plethodon glutinosus,17,40,forest,56.6,0.626
2012-03-26,Anaxyrus fowleri,4,23,stream,56.6,0.626
2012-03-26,Storeria occipitomaculata,22,11,disturbed,56.6,0.626
2012-03-26,Sceloporus undulatus,11,4,disturbed,56.6,0.626
2012-04-02,Scincella lateralis,4,45,forest,64.2,0.605
2012-04-02,Sceloporus undulatus,17,1,disturbed,64.2,0.605
2012-04-02,Anolis carolinensis,21,5,disturbed,64.2,0.605
2012-04-02,Pantherophis spiloides,123,26,grass,64.2,0.605
2012-04-02,Plestiodon laticeps,20,6,disturbed,64.2,0.605
2012-04-09,Scincella lateralis,6,41,forest,72.5,0.819
2012-04-09,Storeria occipitomaculata,22,4,disturbed,72.5,0.819
2012-04-09,Scincella lateralis,4,40,forest,72.5,0.819
2012-04-09,Plestiodon fasciata,15,43,forest,72.5,0.819
2012-04-09,Coluber constrictor,153,8,disturbed,72.5,0.819
2012-04-16,Anaxyrus fowleri,6,2,disturbed,69.6,0.306
2012-04-30,Scincella lateralis,12,21,stream,52.7,0.33
2012-04-30,Sceloporus undulatus,16,8,disturbed,52.7,0.33
2012-04-30,Sceloporus undulatus,19,1,disturbed,52.7,0.33
2012-05-07,Scincella lateralis,4,12,disturbed,80.5,0.766
2012-05-07,Scincella lateralis,9,39,forest,80.5,0.766
2012-05-07,Anolis carolinensis,18,8,disturbed,80.5,0.766
2012-05-07,Pantherophis spiloides,108,47,forest,80.5,0.766
2012-05-07,Scincella lateralis,3,10,disturbed,80.5,0.766
2012-05-07,Anaxyrus fowleri,5,17,stream,80.5,0.766
2012-05-07,Anolis carolinensis,21,9,disturbed,80.5,0.766
2012-05-14,Plestiodon fasciata,10,47,forest,80.2,0.545
2012-05-14,Anaxyrus fowleri,4,6,disturbed,80.2,0.545
2012-05-21,Plestiodon fasciata,17,37,forest,69.5,0.992
2012-05-21,Anolis carolinensis,8,6,disturbed,69.5,0.992
2012-05-21,Pantherophis spiloides,129,8,disturbed,69.5,0.992
2012-05-21,Scincella lateralis,4,37,forest,69.5,0.992
2012-06-04,Anaxyrus fowleri,4,5,disturbed,71.0,0.537
2012-06-04,Scincella lateralis,9,46,forest,71.0,0.537
2012-06-04,Scincella lateralis,6,23,stream,71.0,0.537
2012-06-04,Anolis carolinensis,21,12,disturbed,71.0,0.537
2012-06-04,Anolis carolinensis,18,6,disturbed,71.0,0.537
2012-06-11,Plestiodon laticeps,18,6,disturbed,86.4,0.63
2012-06-11,Scincella lateralis,5,31,grass,86.4,0.63
2012-06-11,Scincella lateralis,3,18,stream,86.4,0.63
2012-06-11,Anaxyrus fowleri,3,23,stream,86.4,0.63
2012-06-11,Scincella lateralis,4,41,forest,86.4,0.63
2012-06-18,Plestiodon fasciata,7,40,forest,78.9,0.503
2012-06-18,Sceloporus undulatus,18,37,forest,78.9,0.503
2012-06-18,Scincella lateralis,6,41,forest,78.9,0.503
2012-06-25,Plestiodon fasciata,7,3,disturbed,71.6,0.72
2012-06-25,Scincella lateralis,5,10,disturbed,71.6,0.72
2012-07-02,Anolis carolinensis,16,37,forest,71.4,0.729
2012-07-02,Sceloporus undulatus,11,5,disturbed,71.4,0.729
2012-07-09,Anolis carolinensis,7,39,forest,74.4,0.256
2012-07-16,Scincella lateralis,3,47,forest,82.2,0.849
2012-07-16,Anolis carolinensis,22,41,forest,82.2,0.849
2012-07-16,Anolis carolinensis,8,4,disturbed,82.2,0.849
2012-07-16,Pantherophis spiloides,134,43,forest,82.2,0.849
2012-07-23,Anolis carolinensis,16,4,disturbed,72.2,0.508
2012-07-23,Scincella lateralis,7,46,forest,72.2,0.508
2012-07-23,Anaxyrus fowleri,6,9,disturbed,72.2,0.508
2012-08-06,Plestiodon laticeps,15,39,forest,75.3,0.491
2012-08-06,Agkistrodon piscivorus,124,13,stream,75.3,0.491
2012-08-13,Scincella lateralis,5,14,stream,74.8,0.265
2012-08-13,Scincella lateralis,6,12,disturbed,74.8,0.265
2012-08-13,Scincella lateralis,5,45,forest,74.8,0.265
2012-08-13,Anolis carolinensis,20,40,forest,74.8,0.265
2012-08-20,Anolis carolinensis,11,10,disturbed,75.4,0.423
2012-08-27,Scincella lateralis,6,9,disturbed,80.5,0.577
2012-08-27,Anolis carolinensis,8,2,disturbed,80.5,0.577
2012-08-27,Anolis carolinensis,12,2,disturbed,80.5,0.577
2012-09-03,Coluber constrictor,103,36,grass,67.6,0.815
2012-09-03,Storeria occipitomaculata,26,6,disturbed,67.6,0.815
2012-09-03,Sceloporus undulatus,17,1,disturbed,67.6,0.815
2012-09-03,Anolis carolinensis,8,7,disturbed,67.6,0.815
2012-09-03,Scincella lateralis,5,46,forest,67.6,0.815
2012-09-03,Sceloporus undulatus,12,3,disturbed,67.6,0.815
2012-09-10,Plestiodon fasciata,8,44,forest,74.8,0.597
2012-09-10,Plestiodon fasciata,10,39,forest,74.8,0.597
2012-09-17,Scincella lateralis,6,24,stream,81.6,0.481
2012-09-17,Coluber constrictor,125,31,grass,81.6,0.481
2012-09-24,Coluber constrictor,107,33,grass,78.8,0.614
2012-09-24,Sceloporus undulatus,18,39,forest,78.8,0.614
2012-09-24,Anolis carolinensis,17,6,disturbed,78.8,0.614
2012-10-01,Anolis carolinensis,13,7,disturbed,73.0,0.313
2012-10-01,Plethodon glutinosus,19,11,disturbed,73.0,0.313
2012-10-08,Plestiodon fasciata,16,12,disturbed,61.4,0.804
2012-10-08,Sceloporus undulatus,11,1,disturbed,61.4,0.804
2012-10-15,Anolis carolinensis,16,3,disturbed,71.5,0.664
2012-10-15,Sceloporus undulatus,18,8,disturbed,71.5,0.664
2012-10-15,Storeria occipitomaculata,19,8,disturbed,71.5,0.664
2012-10-15,Plestiodon fasciata,8,9,disturbed,71.5,0.664
2012-10-15,Storeria occipitomaculata,27,3,disturbed,71.5,0.664
2012-10-22,Plestiodon fasciata,8,40,forest,70.7,0.892
2012-10-29,Anolis carolinensis,8,8,disturbed,53.0,0.349
2012-11-05,Anolis carolinensis,16,13,stream,49.2,0.336
2012-11-05,Scincella lateralis,5,46,forest,49.2,0.336
2012-11-05,Plethodon glutinosus,11,11,disturbed,49.2,0.336
2012-11-12,Anolis carolinensis,14,38,forest,57.9,0.852
2012-11-12,Anaxyrus fowleri,6,3,disturbed,57.9,0.852
2012-11-12,Plestiodon laticeps,10,5,disturbed,57.9,0.852
2012-11-12,Scincella lateralis,3,38,forest,57.9,0.852
2012-11-12,Eurycea cirrigera,4,23,stream,57.9,0.852
2012-11-12,Plethodon glutinosus,19,15,stream,57.9,0.852
2012-11-19,Eurycea cirrigera,10,24,stream,48.2,0.843
2012-11-19,Plestiodon fasciata,9,39,forest,48.2,0.843
2012-11-26,Plethodon glutinosus,10,12,disturbed,55.0,0.233
2012-11-26,Plethodon glutinosus,18,5,disturbed,55.0,0.233
2012-11-26,Anolis carolinensis,10,20,stream,55.0,0.233
2012-11-26,Scincella lateralis,7,30,grass,55.0,0.233
2012-12-03,Plethodon glutinosus,14,38,forest,48.7,0.797
2012-12-10,Eurycea cirrigera,8,18,stream,48.0,0.493
2012-12-24,Scincella lateralis,4,37,forest,56.9,0.706
2012-12-24,Eurycea cirrigera,5,21,stream,56.9,0.706
2012-12-24,Eurycea cirrigera,6,21,stream,56.9,0.706
2012-12-31,Plethodon glutinosus,13,40,forest,53.9,0.545
2012-12-31,Scincella lateralis,6,1,disturbed,53.9,0.545
2012-12-31,Plethodon glutinosus,17,48,forest,53.9,0.545
2013-01-07,Eurycea cirrigera,10,17,stream,48.3,0.347
2013-01-07,Plethodon glutinosus,20,1,disturbed,48.3,0.347
2013-01-14,Plethodon glutinosus,14,8,disturbed,40.4,0.638
2013-01-14,Anolis carolinensis,8,2,disturbed,40.4,0.638
2013-01-14,Eurycea cirrigera,9,16,stream,40.4,0.638
2013-01-21,Plethodon glutinosus,15,39,forest,36.0,0.832
2013-02-04,Plethodon glutinosus,15,10,disturbed,45.7,0.202
2013-02-11,Plestiodon fasciata,17,2,disturbed,54.6,0.691
2013-02-11,Plestiodon fasciata,14,10,disturbed,54.6,0.691
2013-02-11,Eurycea cirrigera,6,37,forest,54.6,0.691
2013-02-11,Sceloporus undulatus,14,4,disturbed,54.6,0.691
2013-02-25,Eurycea cirrigera,5,16,stream,40.3,0.545
2013-02-25,Plethodon glutinosus,20,44,forest,40.3,0.545
2013-02-25,Plestiodon fasciata,13,9,disturbed,40.3,0.545
2013-02-25,Eurycea cirrigera,9,14,stream,40.3,0.545
2013-02-25,Storeria dekayi,20,42,forest,40.3,0.545
2013-03-04,Eurycea cirrigera,10,16,stream,67.8,0.209
2013-03-11,Pantherophis spiloides,183,8,disturbed,45.4,0.861
2013-03-11,Sceloporus undulatus,19,8,disturbed,45.4,0.861
2013-03-11,Plestiodon laticeps,22,12,disturbed,45.4,0.861
2013-03-25,Plethodon glutinosus,14,10,disturbed,56.4,0.953
2013-03-25,Sceloporus undulatus,14,2,disturbed,56.4,0.953
2013-03-25,Eurycea cirrigera,9,13,stream,56.4,0.953
2013-04-01,Sceloporus undulatus,16,11,disturbed,67.4,0.899
2013-04-01,Storeria dekayi,16,31,grass,67.4,0.899
2013-04-01,Plestiodon fasciata,6,5,disturbed,67.4,0.899
2013-04-08,Storeria dekayi,33,29,grass,74.2,0.744
2013-04-08,Storeria dekayi,29,38,forest,74.2,0.744
2013-04-15,Sceloporus undulatus,15,12,disturbed,56.0,0.896
2013-04-15,Plestiodon laticeps,14,11,disturbed,56.0,0.896
2013-04-15,Sceloporus undulatus,12,10,disturbed,56.0,0.896
2013-04-15,Scincella lateralis,3,47,forest,56.0,0.896
2013-04-22,Plestiodon fasciata,13,37,forest,66.8,0.54
2013-04-22,Scincella lateralis,4,45,forest,66.8,0.54
2013-04-22,Plestiodon fasciata,9,37,forest,66.8,0.54
2013-04-22,Anaxyrus fowleri,9,39,forest,66.8,0.54
2013-04-22,Sceloporus undulatus,12,7,disturbed,66.8,0.54
2013-04-29,Pantherophis spiloides,91,34,grass,56.0,0.61
2013-04-29,Scincella lateralis,6,45,forest,56.0,0.61
2013-04-29,Scincella lateralis,5,44,forest,56.0,0.61
2013-05-06,Plestiodon fasciata,8,2,disturbed,66.4,0.712
2013-05-13,Plestiodon laticeps,11,43,forest,64.9,0.849
2013-05-13,Anolis carolinensis,14,38,forest,64.9,0.849
2013-05-13,Anaxyrus fowleri,5,11,disturbed,64.9,0.849
2013-05-13,Tantilla coronata,19,37,forest,64.9,0.849
2013-05-20,Scincella lateralis,8,41,forest,73.0,0.458
2013-05-27,Anolis carolinensis,10,37,forest,78.1,0.83
2013-05-27,Sceloporus undulatus,15,10,disturbed,78.1,0.83
2013-05-27,Scincella lateralis,4,6,disturbed,78.1,0.83
2013-06-03,Coluber constrictor,138,28,grass,75.3,0.893
2013-06-03,Scincella lateralis,7,44,forest,75.3,0.893
2013-06-03,Anolis carolinensis,20,3,disturbed,75.3,0.893
2013-06-10,Anolis carolinensis,12,5,disturbed,68.9,0.98
2013-06-10,Scincella lateralis,4,44,forest,68.9,0.98
2013-06-10,Anolis carolinensis,10,43,forest,68.9,0.98
2013-06-10,Sceloporus undulatus,18,3,disturbed,68.9,0.98
2013-06-10,Anolis carolinensis,8,6,disturbed,68.9,0.98
2013-06-10,Scincella lateralis,6,38,forest,68.9,0.98
2013-06-10,Scincella lateralis,5,18,stream,68.9,0.98
2013-06-17,Scincella lateralis,8,40,forest,71.7,0.63
2013-06-17,Anolis carolinensis,16,41,forest,71.7,0.63
2013-06-17,Anolis carolinensis,12,6,disturbed,71.7,0.63
2013-06-17,Anolis carolinensis,17,6,disturbed,71.7,0.63
2013-06-17,Anaxyrus fowleri,6,14,stream,71.7,0.63
2013-07-01,Anolis carolinensis,14,24,stream,89.7,0.929
2013-07-01,Anolis carolinensis,9,2,disturbed,89.7,0.929
2013-07-01,Anolis carolinensis,7,7,disturbed,89.7,0.929
2013-07-01,Plestiodon fasciata,11,44,forest,89.7,0.929
2013-07-08,Scincella lateralis,6,22,stream,82.4,0.251
2013-07-22,Coluber constrictor,53,34,grass,71.4,0.966
2013-07-22,Sceloporus undulatus,14,37,forest,71.4,0.966
2013-07-22,Anolis carolinensis,14,10,disturbed,71.4,0.966
2013-07-29,Scincella lateralis,4,18,stream,89.5,0.757
2013-07-29,Anolis carolinensis,11,1,disturbed,89.5,0.757
2013-08-05,Sceloporus undulatus,18,12,disturbed,81.6,0.93
2013-08-05,Scincella lateralis,5,3,disturbed,81.6,0.93
2013-08-05,Anolis carolinensis,8,8,disturbed,81.6,0.93
2013-08-05,Anolis carolinensis,16,13,stream,81.6,0.93
2013-08-12,Scincella lateralis,9,4,disturbed,83.5,0.29
2013-08-12,Anaxyrus fowleri,4,46,forest,83.5,0.29
2013-08-12,Anolis carolinensis,12,4,disturbed,83.5,0.29
2013-08-19,Anolis carolinensis,19,14,stream,86.3,0.608
2013-08-19,Anolis carolinensis,17,8,disturbed,86.3,0.608
2013-08-19,Plestiodon laticeps,13,2,disturbed,86.3,0.608
2013-08-19,Anolis carolinensis,9,43,forest,86.3,0.608
2013-08-26,Sceloporus undulatus,19,12,disturbed,83.9,0.505
2013-08-26,Plestiodon fasciata,8,43,forest,83.9,0.505
2013-09-02,Sceloporus undulatus,13,3,disturbed,76.0,0.723
2013-09-02,Scincella lateralis,3,37,forest,76.0,0.723
2013-09-02,Sceloporus undulatus,16,10,disturbed,76.0,0.723
2013-09-02,Anolis carolinensis,11,4,disturbed,76.0,0.723
2013-09-02,Tantilla coronata,17,11,disturbed,76.0,0.723
